mem_addr_inst
7   4
PH1 I7  I6  A3  A2  A1  A0  O3  O2  O1  O0
0   X   X   X   X   X   X   N   N   N   N
1   0   0   X   X   X   X   N   N   N   N
1   1   1   X   X   X   X   N   N   N   N
1   0   1   0   0   0   0   0   0   0   0
1   0   1   0   0   0   1   0   0   0   1
1   0   1   0   0   1   0   0   0   1   0
1   0   1   0   0   1   1   0   0   1   1
1   0   1   0   1   0   0   0   1   0   0
1   0   1   0   1   0   1   0   1   0   1
1   0   1   0   1   1   0   0   1   1   0
1   0   1   0   1   1   1   0   1   1   1
1   0   1   1   0   0   0   1   0   0   0
1   0   1   1   0   0   1   1   0   0   1
1   0   1   1   0   1   0   1   0   1   0
1   0   1   1   0   1   1   1   0   1   1
1   0   1   1   1   0   0   1   1   0   0
1   0   1   1   1   0   1   1   1   0   1
1   0   1   1   1   1   0   1   1   1   0
1   0   1   1   1   1   1   1   1   1   1
1   1   0   0   0   0   0   0   0   0   0
1   1   0   0   0   0   1   0   0   0   1
1   1   0   0   0   1   0   0   0   1   0
1   1   0   0   0   1   1   0   0   1   1
1   1   0   0   1   0   0   0   1   0   0
1   1   0   0   1   0   1   0   1   0   1
1   1   0   0   1   1   0   0   1   1   0
1   1   0   0   1   1   1   0   1   1   1
1   1   0   1   0   0   0   1   0   0   0
1   1   0   1   0   0   1   1   0   0   1
1   1   0   1   0   1   0   1   0   1   0
1   1   0   1   0   1   1   1   0   1   1
1   1   0   1   1   0   0   1   1   0   0
1   1   0   1   1   0   1   1   1   0   1
1   1   0   1   1   1   0   1   1   1   0
1   1   0   1   1   1   1   1   1   1   1
